,state,"state, full name",population (2015),marketid,totalsales,logshare_oo,make,logshare,mmr,sellingprice,odometer,condition,year_2015,year_2014,year_2013,year_2012,year_2011,year_2010,year_2009,year_2008,year_2007,year_2006,year_2005,year_2004,year_2003,year_2002,year_2001,year_2000,year_1999,body_suv,body_sedan,body_convertible,body_coupe,body_wagon,body_hatchback,body_pickup,body_van,color_white,color_gray,color_black,color_red,color_silver,color_other_color,color_blue,color_gold,color_green,interior_black,interior_beige,interior_tan,interior_other_interior,interior_gray
356,pa,Pennsylvania (US),12802503.0,173,16,-1.2497563951640042e-06,bmw,-14.755712094457552,12015.0,12540.0,81873.2,29.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.4,0.0,0.0,0.4,0.0,0.2,0.2,0.2
357,pa,Pennsylvania (US),12802503.0,173,16,-1.2497563951640042e-06,chevrolet,-13.146274182023452,8344.0,5894.0,84115.64,21.12,0.0,0.04,0.24,0.08,0.0,0.0,0.0,0.12,0.08,0.08,0.08,0.08,0.04,0.04,0.08,0.0,0.04,0.28,0.44,0.0,0.12,0.0,0.0,0.16,0.0,0.12,0.08,0.12,0.12,0.24,0.16,0.08,0.04,0.04,0.4,0.0,0.0,0.16,0.44
358,pa,Pennsylvania (US),12802503.0,173,16,-1.2497563951640042e-06,chrysler,-14.755712094457552,8770.0,8240.0,69036.6,7.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.4,0.2,0.2,0.0,0.2
359,pa,Pennsylvania (US),12802503.0,173,16,-1.2497563951640042e-06,dodge,-14.573390537663599,9087.5,7325.0,75034.33333333333,14.666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.5,0.16666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
360,pa,Pennsylvania (US),12802503.0,173,16,-1.2497563951640042e-06,ford,-13.146274182023452,10883.0,7811.0,76595.72,20.8,0.0,0.24,0.12,0.08,0.0,0.0,0.0,0.08,0.16,0.04,0.16,0.0,0.0,0.04,0.04,0.0,0.04,0.12,0.56,0.04,0.0,0.0,0.0,0.28,0.0,0.2,0.16,0.08,0.24,0.16,0.08,0.04,0.0,0.04,0.4,0.16,0.08,0.04,0.32
361,pa,Pennsylvania (US),12802503.0,173,16,-1.2497563951640042e-06,honda,-13.187096176543708,13164.583333333334,11583.333333333334,58509.5,25.333333333333332,0.0,0.0,0.0,0.75,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.5416666666666666,0.0,0.041666666666666664,0.0,0.0,0.0,0.25,0.041666666666666664,0.3333333333333333,0.25,0.0,0.125,0.125,0.08333333333333333,0.0,0.041666666666666664,0.2916666666666667,0.0,0.08333333333333333,0.08333333333333333,0.5416666666666666
362,pa,Pennsylvania (US),12802503.0,173,16,-1.2497563951640042e-06,hyundai,-14.41923985783634,5460.714285714285,5457.142857142857,94972.0,18.714285714285715,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.7142857142857143
363,pa,Pennsylvania (US),12802503.0,173,16,-1.2497563951640042e-06,infiniti,-16.365150006891653,2275.0,2900.0,94590.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
364,pa,Pennsylvania (US),12802503.0,173,16,-1.2497563951640042e-06,jeep,-14.41923985783634,8007.142857142857,8700.0,88175.28571428571,17.857142857142858,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.42857142857142855,0.0,0.0,0.0,0.5714285714285714
365,pa,Pennsylvania (US),12802503.0,173,16,-1.2497563951640042e-06,kia,-14.978855645771763,4493.75,3700.0,104119.75,19.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.5,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.5
366,pa,Pennsylvania (US),12802503.0,173,16,-1.2497563951640042e-06,lexus,-15.266537718223544,27500.0,30166.666666666668,30705.666666666668,26.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
367,pa,Pennsylvania (US),12802503.0,173,16,-1.2497563951640042e-06,mercedes-benz,-14.978855645771763,19362.5,19587.5,70808.0,20.5,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
368,pa,Pennsylvania (US),12802503.0,173,16,-1.2497563951640042e-06,nissan,-12.676270552777718,13567.5,11748.75,53162.275,33.8,0.0,0.025,0.075,0.675,0.025,0.0,0.0,0.025,0.05,0.025,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.5,0.0,0.125,0.0,0.0,0.0,0.025,0.175,0.275,0.125,0.05,0.125,0.025,0.225,0.0,0.0,0.65,0.125,0.025,0.025,0.175
369,pa,Pennsylvania (US),12802503.0,173,16,-1.2497563951640042e-06,other_make,-12.627480388608285,5660.714285714285,4965.476190476191,112487.52380952382,17.428571428571427,0.0,0.0,0.07142857142857142,0.0,0.023809523809523808,0.0,0.023809523809523808,0.11904761904761904,0.09523809523809523,0.14285714285714285,0.023809523809523808,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.047619047619047616,0.023809523809523808,0.0,0.3333333333333333,0.5238095238095238,0.047619047619047616,0.023809523809523808,0.023809523809523808,0.0,0.047619047619047616,0.0,0.11904761904761904,0.14285714285714285,0.30952380952380953,0.11904761904761904,0.07142857142857142,0.19047619047619047,0.023809523809523808,0.0,0.023809523809523808,0.40476190476190477,0.11904761904761904,0.11904761904761904,0.023809523809523808,0.3333333333333333
370,pa,Pennsylvania (US),12802503.0,173,16,-1.2497563951640042e-06,toyota,-13.726092677276394,9292.857142857143,10171.42857142857,94607.71428571429,27.357142857142858,0.0,0.0,0.07142857142857142,0.21428571428571427,0.0,0.0,0.0,0.0,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.35714285714285715,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.0,0.07142857142857142,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.7142857142857143
371,pa,Pennsylvania (US),12802503.0,173,16,-1.2497563951640042e-06,volkswagen,-15.266537718223544,2475.0,3133.3333333333335,93600.0,25.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
372,pa,Pennsylvania (US),12802503.0,188,16,-1.2497563951640042e-06,bmw,-14.062564913897608,17082.5,18340.0,74822.4,35.4,0.0,0.0,0.1,0.1,0.0,0.1,0.2,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.3,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0
373,pa,Pennsylvania (US),12802503.0,188,16,-1.2497563951640042e-06,chevrolet,-13.967254734093283,18831.81818181818,21181.81818181818,62830.36363636364,31.363636363636363,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.2727272727272727,0.0,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.18181818181818182,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.6363636363636364,0.0,0.0,0.0,0.36363636363636365
374,pa,Pennsylvania (US),12802503.0,188,16,-1.2497563951640042e-06,chrysler,-15.266537718223544,13700.0,15333.333333333334,37914.333333333336,25.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
